City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
334,Carutapera,BR,-1.195,-46.02,78.13,84,97,7.07,overcast clouds
335,Westport,US,41.1415,-73.3579,76.91,72,0,6.91,clear sky
336,Lompoc,US,34.6391,-120.4579,68.85,89,100,10.36,fog
337,Champerico,GT,14.3,-91.9167,82.15,74,97,4.14,overcast clouds
338,Makakilo City,US,21.3469,-158.0858,86.32,51,20,18.41,few clouds
339,Marfino,RU,55.7028,37.3822,62.94,54,0,13.42,clear sky
340,Duki,PK,30.1541,68.5728,73.94,79,9,2.95,clear sky
341,Cayenne,GF,4.9333,-52.3333,77.04,88,0,0.0,clear sky
342,Poum,NC,-20.2333,164.0167,71.19,70,69,13.22,broken clouds
343,Prince Rupert,CA,54.3161,-130.3201,62.29,97,100,12.66,fog
344,Bonthe,SL,7.5264,-12.505,75.83,87,100,11.39,light rain
